kata_tidak_baku,kata_baku
jaringanya,jaringannya
lets,ayo
dicek,diperiksa
directions,petunjuk arah
shows,menunjukkan
kn,kan
kgk,kagak
agustus,Agustus
ak,aku
mapsny,mapsnya
gangku,ganggu
tok,saja
aing,saya
batre,baterai
kebayoran,Kebayoran
local,lokal
direction,petunjuk arah
slu,selalu
urgent,darurat
ksh,kasih
smpek,sampai
im,saya
tsb,tersebut
gods,tuhan
dsni,di sini
test,tes
pik,pantai indah kapuk
just,hanya
perbaikanya,perbaikannya
bagu,bagus
brubah,berubah
jatim,Jawa Timur
show,tampilkan
cant,tidak bisa
bat,sekali
nyangkut,tersangkut
larian,lari
history,riwayat
lalulintas,lalu lintas
gatau,tidak tahu
updatean,pembaruan
jalananya,jalanannya
dmna,di mana
ol,online
ulp,unit layanan pelanggan
binjai,Binjai
mapsberkat,maps berkat
pulng,pulang
unistal,copot pemasangan
pd,pada
reno,Reno
burem,buram
meraka,mereka
mkin,makin
oktober,Oktober
nolong,menolong
instalation,instalasi
bae,saja
ngapa,mengapa
tungu,tunggu
anjay,anjir
adain,adakan
banga,bangga
insyaaloh,insyaallah
reting,peringkat
tingkatin,tingkatkan
ngapain,sedang apa
set,atur
wok,oke
demen,suka
ky,kayak
tembokkalo,tembok kalau
lemotnya,lambatnya
bwt,buat
updat,pembaruan
td,tadi
after,setelah
should,seharusnya
ben,supaya
instead,alih-alih
gaje,tidak jelas
swt,subhanahu wa ta'ala
buatin,buatkan
sruh,suruh
mapssaya,maps saya
taxi,taksi
kirain,dikira
bangus,bagus
kadangkadang,kadang-kadang
mw,mau
yup,ya
jaksel,Jakarta Selatan
lwat,lewat
cikarang,Cikarang
lack,kurang
kosan,kos
tetanga,tetangga
folow,ikuti
dibenerin,diperbaiki
rs,rumah sakit
tangerang,Tangerang
col,panggilan
ruma,rumah
brpa,berapa
taiwan,Taiwan
chat,percakapan
jngan,jangan
resto,restoran
acuration,akurasi
canot,tidak bisa
line,garis
depanya,depannya
maharajo,maharaja
kq,kok
bluetoth,bluetooth
star,bintang
sometimes,terkadang
mr,tuan
rudi,Rudi
ngarah,mengarah
kesesat,tersesat
persingahan,persinggahan
